Year,site,Management Type,access,transect,Reserve,Biomass
2012,Cemara Besar 2,Utilization,Gear Restriction,1,0,17.46637512
2012,Cemara Besar 2,Utilization,Gear Restriction,2,0,14.8387436
2012,Cemara Besar 2,Utilization,Gear Restriction,3,0,12.87583183
2012,Karang Katang,Utilization,Gear Restriction,1,0,14.82770847
2012,Karang Katang,Utilization,Gear Restriction,2,0,17.76680792
2012,Karang Katang,Utilization,Gear Restriction,3,0,11.62622149
2012,Kecil,Utilization,Gear Restriction,1,0,25.71628135
2012,Kecil,Utilization,Gear Restriction,2,0,14.31537303
2012,Kecil,Utilization,Gear Restriction,3,0,14.68211512
2012,Nyamuk,Utilization,Gear Restriction,1,0,64.80995562
2012,Nyamuk,Utilization,Gear Restriction,2,0,38.4689483
2012,Nyamuk,Utilization,Gear Restriction,3,0,18.36168999
2012,Pantai Nirwana,Utilization,Gear Restriction,1,0,31.61408825
2012,Pantai Nirwana,Utilization,Gear Restriction,2,0,16.9900312
2012,Pantai Nirwana,Utilization,Gear Restriction,3,0,12.15291761
2012,Parang 1,Utilization,Gear Restriction,1,0,26.53299848
2012,Parang 1,Utilization,Gear Restriction,2,0,14.24671741
2012,Parang 1,Utilization,Gear Restriction,3,0,22.20293032
2012,Parang 2,Utilization,Gear Restriction,1,0,28.8235895
2012,Parang 2,Utilization,Gear Restriction,2,0,23.89586505
2012,Parang 2,Utilization,Gear Restriction,3,0,18.8385594
2012,Tanjung Lemu,Utilization,Gear Restriction,1,0,6.9307163
2012,Tanjung Lemu,Utilization,Gear Restriction,2,0,15.63479572
2012,Tanjung Lemu,Utilization,Gear Restriction,3,0,14.57441263
2013,Batu Putih,Utilization Zone,Gear Restriction,1,0,26.89522903
2013,Batu Putih,Utilization Zone,Gear Restriction,2,0,21.31294865
2013,Batu Putih,Utilization Zone,Gear Restriction,3,0,19.75878841
2013,Cemara Besar 1,Utilization Zone,Gear Restriction,1,0,24.66099157
2013,Cemara Besar 1,Utilization Zone,Gear Restriction,2,0,25.128941
2013,Cemara Besar 1,Utilization Zone,Gear Restriction,3,0,18.93433968
2013,Cemara Besar 2,Utilization Zone,Gear Restriction,1,0,21.52802366
2013,Cemara Besar 2,Utilization Zone,Gear Restriction,2,0,20.2480188
2013,Cemara Besar 2,Utilization Zone,Gear Restriction,3,0,17.0614876
2013,Karang Katang,Utilization Zone,Gear Restriction,1,0,18.34846042
2013,Karang Katang,Utilization Zone,Gear Restriction,2,0,12.41123407
2013,Karang Katang,Utilization Zone,Gear Restriction,3,0,18.5585557
2013,Kecil,Utilization Zone,Gear Restriction,1,0,46.95701728
2013,Kecil,Utilization Zone,Gear Restriction,2,0,19.72782113
